oct_in,bry_x,bry_y,grid_addr
1,0.1285531324173430,0.4998412616293660,NPΛ18733500403333333333333333333333G3
4,0.4509696773390380,-0.1749033048967060,EAΛ68457274135033333333333333333333G3
1,0.4100837690830040,0.0607301223375667,NPΛ86550880203333333333333333333333G3
3,-0.1902409770973520,0.3220985513504760,NWV73835761700223803333333333333333G3
4,0.2859937532712220,-0.0158147090306981,EAΛ80243282577448845041033333333333G3
7,-0.0804314387060846,-0.2476062696203540,WPΛ85584214811242718546505403333333G3
1,-0.1517668954097250,-0.4082453441305130,EPΛ03333333333333333333333333333333G3
5,-0.6409967756546770,0.4082462757399300,SEV33333333333333333333333333333333J3
2,0.2404538201661200,-0.2704854939784280,WAΛ12001573333333333333333333333333J3
7,-0.5587106078511410,-0.1790169690489870,SWΛ38683452733333333333333333333333J3
3,0.0885610305605386,0.2963453402629530,WPV07501288812736303333333333333333J3
7,-0.0292303586852441,-0.4017580988715020,WPΛ08867270480411860886333333333333J3
1,-0.0351275275956548,0.6493758784499530,NPΛ38250777438636871614277333333333J3
3,0.0061060105832024,0.1073753086442550,WPV42423534617452754176333333333333J3
5,0.3957083376025010,0.0603539297571289,EPV76522336577065201567674733333333J3
2,0.2794765470326070,0.1911340646301450,NAΛ05084318071720030675526502005333J3
